127.0.0.1 - - [25/Jul/2015:00:28:22 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [25/Jul/2015:00:28:22 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 200 285
127.0.0.1 - - [25/Jul/2015:00:28:24 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_44_444444_1x100.png HTTP/1.1" 200 277
127.0.0.1 - - [25/Jul/2015:00:28:24 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6299
127.0.0.1 - - [25/Jul/2015:00:28:24 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_35_222222_1x100.png HTTP/1.1" 200 277
127.0.0.1 - - [25/Jul/2015:00:28:24 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-hard_20_0972a5_1x100.png HTTP/1.1" 200 323
127.0.0.1 - - [25/Jul/2015:00:28:29 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_33_003147_1x100.png HTTP/1.1" 200 352
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/register HTTP/1.1" 200 6331
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 2550
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [25/Jul/2015:00:28:32 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 200 285
127.0.0.1 - - [25/Jul/2015:00:28:40 +0800] "GET /janjan/register HTTP/1.1" 200 6331
127.0.0.1 - - [25/Jul/2015:00:28:40 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [25/Jul/2015:00:28:40 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [25/Jul/2015:00:28:40 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [25/Jul/2015:00:28:40 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 2550
127.0.0.1 - - [25/Jul/2015:00:28:40 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [25/Jul/2015:00:28:40 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [25/Jul/2015:00:28:41 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 200 285
127.0.0.1 - - [25/Jul/2015:00:28:41 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_44_444444_1x100.png HTTP/1.1" 200 277
127.0.0.1 - - [25/Jul/2015:00:28:41 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6299
127.0.0.1 - - [25/Jul/2015:00:28:41 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_35_222222_1x100.png HTTP/1.1" 200 277
127.0.0.1 - - [25/Jul/2015:00:28:41 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-hard_20_0972a5_1x100.png HTTP/1.1" 200 323
127.0.0.1 - - [25/Jul/2015:00:28:50 +0800] "GET /janjan/register HTTP/1.1" 200 6331
127.0.0.1 - - [25/Jul/2015:00:31:47 +0800] "GET /janjan/register HTTP/1.1" 200 6333
127.0.0.1 - - [25/Jul/2015:00:31:48 +0800] "GET /janjan/resources/css/layout.css HTTP/1.1" 200 2550
127.0.0.1 - - [25/Jul/2015:00:31:48 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.css HTTP/1.1" 200 35285
127.0.0.1 - - [25/Jul/2015:00:31:48 +0800] "GET /janjan/resources/jquery/mask/jquery.mask.min.js HTTP/1.1" 200 5993
127.0.0.1 - - [25/Jul/2015:00:31:48 +0800] "GET /janjan/resources/jquery/jquery-1.11.3.min.js HTTP/1.1" 200 95957
127.0.0.1 - - [25/Jul/2015:00:31:48 +0800] "GET /janjan/resources/jquery/twzipcode/jquery.twzipcode.min.js HTTP/1.1" 200 15568
127.0.0.1 - - [25/Jul/2015:00:31:48 +0800] "GET /janjan/resources/jquery/ui/1.11.4/jquery-ui.min.js HTTP/1.1" 200 240427
127.0.0.1 - - [25/Jul/2015:00:31:48 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 200 285
127.0.0.1 - - [25/Jul/2015:00:31:49 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_44_444444_1x100.png HTTP/1.1" 200 277
127.0.0.1 - - [25/Jul/2015:00:31:49 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6299
127.0.0.1 - - [25/Jul/2015:00:31:49 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_35_222222_1x100.png HTTP/1.1" 200 277
127.0.0.1 - - [25/Jul/2015:00:31:49 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-hard_20_0972a5_1x100.png HTTP/1.1" 200 323
127.0.0.1 - - [25/Jul/2015:00:31:53 +0800] "GET /janjan/resources/jquery/ui/1.11.4/images/ui-bg_highlight-soft_33_003147_1x100.png HTTP/1.1" 200 352
